,location,station_id,date,flow
1,stlouis,4024000,1/1/2011,35.96239569
2,stlouis,4024000,1/2/2011,34.54655334
3,stlouis,4024000,1/3/2011,34.54655334
4,stlouis,4024000,1/4/2011,35.39605875
5,stlouis,4024000,1/5/2011,35.67922722
6,stlouis,4024000,1/6/2011,36.24556416
7,stlouis,4024000,1/7/2011,36.24556416
8,stlouis,4024000,1/8/2011,35.67922722
9,stlouis,4024000,1/9/2011,38.22774345
10,stlouis,4024000,1/10/2011,37.37823804
11,stlouis,4024000,1/11/2011,36.52873263
12,stlouis,4024000,1/12/2011,37.09506957
13,stlouis,4024000,1/13/2011,37.09506957
14,stlouis,4024000,1/14/2011,36.24556416
15,stlouis,4024000,1/15/2011,37.09506957
16,stlouis,4024000,1/16/2011,36.24556416
17,stlouis,4024000,1/17/2011,35.96239569
18,stlouis,4024000,1/18/2011,35.67922722
19,stlouis,4024000,1/19/2011,36.52873263
20,stlouis,4024000,1/20/2011,35.39605875
21,stlouis,4024000,1/21/2011,36.24556416
22,stlouis,4024000,1/22/2011,37.66140651
23,stlouis,4024000,1/23/2011,36.8119011
24,stlouis,4024000,1/24/2011,35.96239569
25,stlouis,4024000,1/25/2011,37.66140651
26,stlouis,4024000,1/26/2011,34.82972181
27,stlouis,4024000,1/27/2011,34.82972181
28,stlouis,4024000,1/28/2011,34.26338487
29,stlouis,4024000,1/29/2011,34.82972181
30,stlouis,4024000,1/30/2011,33.41387946
31,stlouis,4024000,1/31/2011,33.41387946
32,stlouis,4024000,2/1/2011,33.41387946
33,stlouis,4024000,2/2/2011,32.84754252
34,stlouis,4024000,2/3/2011,32.28120558
35,stlouis,4024000,2/4/2011,35.11289028
36,stlouis,4024000,2/5/2011,34.26338487
37,stlouis,4024000,2/6/2011,33.9802164
38,stlouis,4024000,2/7/2011,33.13071099
39,stlouis,4024000,2/8/2011,33.41387946
40,stlouis,4024000,2/9/2011,33.13071099
41,stlouis,4024000,2/10/2011,32.28120558
42,stlouis,4024000,2/11/2011,32.84754252
43,stlouis,4024000,2/12/2011,33.9802164
44,stlouis,4024000,2/13/2011,32.56437405
45,stlouis,4024000,2/14/2011,35.39605875
46,stlouis,4024000,2/15/2011,34.82972181
47,stlouis,4024000,2/16/2011,33.69704793
48,stlouis,4024000,2/17/2011,33.9802164
49,stlouis,4024000,2/18/2011,35.11289028
50,stlouis,4024000,2/19/2011,36.24556416
51,stlouis,4024000,2/20/2011,35.67922722
52,stlouis,4024000,2/21/2011,36.52873263
53,stlouis,4024000,2/22/2011,35.11289028
54,stlouis,4024000,2/23/2011,34.26338487
55,stlouis,4024000,2/24/2011,34.54655334
56,stlouis,4024000,2/25/2011,33.41387946
57,stlouis,4024000,2/26/2011,32.28120558
58,stlouis,4024000,2/27/2011,31.1485317
59,stlouis,4024000,2/28/2011,29.73268935
60,stlouis,4024000,3/1/2011,30.01585782
61,stlouis,4024000,3/2/2011,30.58219476
62,stlouis,4024000,3/3/2011,32.56437405
63,stlouis,4024000,3/4/2011,31.71486864
64,stlouis,4024000,3/5/2011,31.43170017
65,stlouis,4024000,3/6/2011,30.86536323
66,stlouis,4024000,3/7/2011,30.29902629
67,stlouis,4024000,3/8/2011,31.1485317
68,stlouis,4024000,3/9/2011,29.16635241
69,stlouis,4024000,3/10/2011,29.16635241
70,stlouis,4024000,3/11/2011,30.01585782
71,stlouis,4024000,3/12/2011,29.16635241
72,stlouis,4024000,3/13/2011,28.88318394
73,stlouis,4024000,3/14/2011,29.16635241
74,stlouis,4024000,3/15/2011,28.60001547
75,stlouis,4024000,3/16/2011,28.60001547
76,stlouis,4024000,3/17/2011,29.16635241
77,stlouis,4024000,3/18/2011,32.28120558
78,stlouis,4024000,3/19/2011,31.71486864
79,stlouis,4024000,3/20/2011,36.24556416
80,stlouis,4024000,3/21/2011,40.77625968
81,stlouis,4024000,3/22/2011,47.28913449
82,stlouis,4024000,3/23/2011,48.1386399
83,stlouis,4024000,3/24/2011,50.9703246
84,stlouis,4024000,3/25/2011,55.78418859
85,stlouis,4024000,3/26/2011,55.78418859
86,stlouis,4024000,3/27/2011,54.36834624
87,stlouis,4024000,3/28/2011,51.53666154
88,stlouis,4024000,3/29/2011,49.83765072
89,stlouis,4024000,3/30/2011,50.68715613
90,stlouis,4024000,3/31/2011,45.3069552
91,stlouis,4024000,4/1/2011,57.76636788
92,stlouis,4024000,4/2/2011,65.97825351
93,stlouis,4024000,4/3/2011,93.4455951
94,stlouis,4024000,4/4/2011,120.3465998
95,stlouis,4024000,4/5/2011,144.6990882
96,stlouis,4024000,4/6/2011,170.7505874
97,stlouis,4024000,4/7/2011,204.7308038
98,stlouis,4024000,4/8/2011,258.2496446
99,stlouis,4024000,4/9/2011,339.802164
100,stlouis,4024000,4/10/2011,373.7823804
101,stlouis,4024000,4/11/2011,362.4556416
102,stlouis,4024000,4/12/2011,362.4556416
103,stlouis,4024000,4/13/2011,353.9605875
104,stlouis,4024000,4/14/2011,328.4754252
105,stlouis,4024000,4/15/2011,288.8318394
106,stlouis,4024000,4/16/2011,250.604096
107,stlouis,4024000,4/17/2011,223.9862598
108,stlouis,4024000,4/18/2011,210.3941732
109,stlouis,4024000,4/19/2011,198.5010975
110,stlouis,4024000,4/20/2011,180.3783154
111,stlouis,4024000,4/21/2011,166.2198919
112,stlouis,4024000,4/22/2011,152.6278053
113,stlouis,4024000,4/23/2011,153.4773107
114,stlouis,4024000,4/24/2011,179.2456415
115,stlouis,4024000,4/25/2011,189.4397064
116,stlouis,4024000,4/26/2011,175.2812829
117,stlouis,4024000,4/27/2011,165.9367234
118,stlouis,4024000,4/28/2011,164.2377126
119,stlouis,4024000,4/29/2011,171.0337559
120,stlouis,4024000,4/30/2011,175.5644514
121,stlouis,4024000,5/1/2011,256.5506338
122,stlouis,4024000,5/2/2011,277.2219321
123,stlouis,4024000,5/3/2011,247.7724113
124,stlouis,4024000,5/4/2011,217.7565534
125,stlouis,4024000,5/5/2011,199.6337714
126,stlouis,4024000,5/6/2011,208.1288255
127,stlouis,4024000,5/7/2011,202.7486245
128,stlouis,4024000,5/8/2011,184.0595055
129,stlouis,4024000,5/9/2011,168.7684081
130,stlouis,4024000,5/10/2011,158.0080063
131,stlouis,4024000,5/11/2011,149.7961206
132,stlouis,4024000,5/12/2011,142.1505719
133,stlouis,4024000,5/13/2011,134.7881917
134,stlouis,4024000,5/14/2011,126.8594746
135,stlouis,4024000,5/15/2011,120.0634313
136,stlouis,4024000,5/16/2011,111.2852087
137,stlouis,4024000,5/17/2011,99.95846991
138,stlouis,4024000,5/18/2011,91.46341581
139,stlouis,4024000,5/19/2011,80.41984548
140,stlouis,4024000,5/20/2011,74.19013914
141,stlouis,4024000,5/21/2011,69.94261209
142,stlouis,4024000,5/22/2011,70.22578056
143,stlouis,4024000,5/23/2011,87.21588876
144,stlouis,4024000,5/24/2011,89.19806805
145,stlouis,4024000,5/25/2011,87.21588876
146,stlouis,4024000,5/26/2011,79.2871716
147,stlouis,4024000,5/27/2011,71.35845444
148,stlouis,4024000,5/28/2011,65.97825351
149,stlouis,4024000,5/29/2011,65.1287481
150,stlouis,4024000,5/30/2011,67.9604328
151,stlouis,4024000,5/31/2011,69.37627515
152,stlouis,4024000,6/1/2011,70.7921175
153,stlouis,4024000,6/2/2011,62.86340034
154,stlouis,4024000,6/3/2011,62.58023187
155,stlouis,4024000,6/4/2011,57.48319941
156,stlouis,4024000,6/5/2011,54.93468318
157,stlouis,4024000,6/6/2011,49.83765072
158,stlouis,4024000,6/7/2011,46.72279755
159,stlouis,4024000,6/8/2011,50.12081919
160,stlouis,4024000,6/9/2011,45.02378673
161,stlouis,4024000,6/10/2011,43.60794438
162,stlouis,4024000,6/11/2011,38.51091192
163,stlouis,4024000,6/12/2011,33.69704793
164,stlouis,4024000,6/13/2011,31.1485317
165,stlouis,4024000,6/14/2011,27.38239105
166,stlouis,4024000,6/15/2011,29.16635241
167,stlouis,4024000,6/16/2011,26.13644978
168,stlouis,4024000,6/17/2011,25.85328131
169,stlouis,4024000,6/18/2011,28.60001547
170,stlouis,4024000,6/19/2011,28.88318394
171,stlouis,4024000,6/20/2011,30.29902629
172,stlouis,4024000,6/21/2011,30.58219476
173,stlouis,4024000,6/22/2011,43.60794438
174,stlouis,4024000,6/23/2011,94.29510051
175,stlouis,4024000,6/24/2011,133.6555178
176,stlouis,4024000,6/25/2011,125.7268007
177,stlouis,4024000,6/26/2011,105.9050078
178,stlouis,4024000,6/27/2011,94.57826898
179,stlouis,4024000,6/28/2011,86.93272029
180,stlouis,4024000,6/29/2011,94.86143745
181,stlouis,4024000,6/30/2011,97.40995368
182,stlouis,4024000,7/1/2011,87.49905723
183,stlouis,4024000,7/2/2011,79.2871716
184,stlouis,4024000,7/3/2011,77.02182384
185,stlouis,4024000,7/4/2011,73.6238022
186,stlouis,4024000,7/5/2011,68.24360127
187,stlouis,4024000,7/6/2011,63.42973728
188,stlouis,4024000,7/7/2011,61.16438952
189,stlouis,4024000,7/8/2011,55.21785165
190,stlouis,4024000,7/9/2011,51.53666154
191,stlouis,4024000,7/10/2011,48.1386399
192,stlouis,4024000,7/11/2011,43.04160744
193,stlouis,4024000,7/12/2011,36.24556416
